image_id,dx,age,sex,localization,dataset_source,source_book,source_page,raw_caption,nivel_confianca,fototipo,excluir
Azulay_p0608_i02,bkl,,,,AzulayBook,Azulay,608,"É mais um aspecto morfológico do que propriamente uma  entidade clínica; sua expressividade morfológica é, entretanto,  tão relevante que merece uma descrição; trata-se de uma pro­ liferação compacta e corniforme de queratina, assentada sobre  uma base, cuja histopatologia revela a entidade básica (",0.85,,0
Azulay_p0612_i02,bkl,,,face,AzulayBook,Azulay,612,"Figura 50.3 A. Nevo comedônico. B. Nevo comedônico. (Cortesia do Dr.  Fabiano Leal.)"" | Figura 50.4 Ceratose seborreica. A. Múltiplas lesões. B. Lesão típica. (Cor­ tesia do Dr. Maluf Gabbay Belicha.) | Caracteriza-se por lesões verrucosas de tamanhos varia­ dos (alguns milímetros a poucos centímetr",0.95,,0
Azulay_p0606_i02,akiec,,,,AzulayBook,Azulay,606,"Figura 49.5 Ceratose actínica. Lesão inicial em pele elastótica. (Cortesia do  Dr. Maluf Gabbay Belicha.) | O tratamento é feito preferencialmente por destruição  mecânica quer seja pela eletrodessecação, pelo nitrogênio  líquido ou pela aplicação de ácido (TCA 50 a 90%). Quando  em grande quantidad",0.95,,0
Azulay_p0608_i01,akiec,,,,AzulayBook,Azulay,608,"Figura 49.11 Lúpus eritematoso discoide com CEC. | 584 | Parte 15 1 Neoplasias Cutâneas e Cistos | • Leucoplasia | Figura 49.13 Corno cutâneo cuja base era ceratose actínica. | Caracteriza-se por placas brancas em mucosas, sobretudo  na mucosa oral; essas placas variam em número, são discreta­ mente",0.95,,0
Azulay_p0609_i01,akiec,,,,AzulayBook,Azulay,609,"Figura 49.17 Doença de Bowen. | dividem-se, havendo autores que a consideram pré-cancerosa  (transformação para o CEC) e outros não; há ainda outros  que acreditam que as transformações possam ocorrer quando  associadas ao fator radiação solar (Capítulo 56, item Queilite). | 49 1 Carcinogênese e Der",0.95,,0
Glossario_p0446_i00,df,,,,GlossarioBook,Glossario,446,"Figura 5.174. Dermatofibroma. Rede fina de pigmentos. | (Figuras 5.184 e 5.185). Criptas (fissuras lineares): são invaginações profundas da  epiderme, cheias de queratina, presentes em dermatofibromas com hiperplasia  epidérmica proeminente. (Figuras 5.186 e 5.187) Dermatofibroma atípico: rede  pigm",0.9,,0
Azulay_p0659_i02,df,,,,AzulayBook,Azulay,659,"Figura 52.2 Fibroma mole - gigante. | O tratamento inclui a exérese cirúrgica (cortar o pedículo  com uma tesourinha), seguida ou não de discreta eletrocoa­ gulação como hemostático. Nas lesões maiores, para evitar  sangramento, é melhor inverter a ordem. | • Histiocitoma | mitocôndrias. O traumatis",0.85,,0
Glossario_p0445_i00,df,,,,GlossarioBook,Glossario,445,Figura 5.174) Glóbulos marrons: São es- truturas arredondadas de cor marrom que se formam quando a hiperpigmentação  das cr,0.85,,0
Azulay_p0699_i01,vasc,,,,AzulayBook,Azulay,699,"A fricção continuada leva à irritação local e é mais pronun­ ciada nas não usuárias de sutiã, embora também possa ocorrer  em homens. | 55 1 Afecções Dermatológicas por Segmento Corporal | 675 | ..,. Afecções do umbigo e  da região periumbilical | • Neurofibromatose | É típica a localização mamilar ",0.85,,0
Glossario_p0426_i00,vasc,,,,GlossarioBook,Glossario,426,Figura 5.140. Angioma. As lagoas separadas por divisórias de cor azul-esbranquiçada sobre um fundo de  pigmentação azul-avermelhada. | 426 | COLÉGIO IBERO-LATINO-AMERICANO DE DERMATOLOGIA | DR. EDUARDO SILVA LIZAMA,0.60,,0
Glossario_p0426_i01,vasc,,,,GlossarioBook,Glossario,426,Figura 5.140. Angioma. As lagoas separadas por divisórias de cor azul-esbranquiçada sobre um fundo de  pigmentação azul-avermelhada. | DR. EDUARDO SILVA LIZAMA,0.60,,0
